Machine_ID,Week_Start_Date,Scheduled_Hours,Actual_Uptime_Hours,Uptime_Percentage,Downtime_Reason,Downtime_Duration,Maintenance_Type,Machine_Location,Machine_Model,Operator_Shift,Last_Maintenance_Date,Number_of_Breakdowns,MTBF_Hours,MTTR_Hours,Energy_Consumption_kWh,Output_Quantity
MCH029,2025-05-13,168,150.02,89.29,Operator Delay,17.98,Unscheduled,Plant B,TX-200,Night,2025-03-22,1,150.02,1.56,3602.94,1785
MCH030,2025-05-13,168,131.88,78.5,Electrical Fault,36.12,Unscheduled,Plant A,TX-200,Night,2025-04-18,2,65.94,1.24,2643.16,1796
MCH031,2025-05-13,168,159.57,94.98,Operator Delay,8.43,Emergency,Plant C,TX-200,Morning,2025-03-21,3,53.19,2.44,3921.91,1803
MCH032,2025-05-13,168,165.02,98.23,Gearbox Failure,2.98,Emergency,Plant B,TX-200,Morning,2025-04-19,1,165.02,2.48,3475.78,1927
MCH033,2025-05-13,168,164.97,98.19,Operator Delay,3.03,Scheduled,Plant A,TX-100,Night,2025-05-05,3,54.99,2.63,3911.88,2145
MCH034,2025-05-13,168,132.2,78.69,Operator Delay,35.8,Emergency,Plant C,TX-300,Evening,2025-04-21,1,132.2,2.48,3083.52,1723
MCH035,2025-05-13,168,138.51,82.45,Preventive Maintenance,29.49,Scheduled,Plant B,TX-200,Morning,2025-03-31,3,46.17,2.13,3034.89,1435
MCH036,2025-05-13,168,140.18,83.44,Power Outage,27.82,Emergency,Plant C,TX-300,Night,2025-04-05,2,70.09,3.88,3071.85,1504
MCH037,2025-05-13,168,166.05,98.84,Electrical Fault,1.95,Scheduled,Plant B,TX-100,Evening,2025-04-17,6,27.67,2.95,3580.12,1695
MCH038,2025-05-13,168,149.26,88.84,Power Outage,18.74,Emergency,Plant B,TX-200,Night,2025-04-04,1,149.26,2.38,3040.67,1981
MCH039,2025-05-13,168,165.73,98.65,Power Outage,2.27,Unscheduled,Plant C,TX-200,Evening,2025-04-26,2,82.86,4.04,3606.91,1673
MCH040,2025-05-13,168,162.07,96.47,Gearbox Failure,5.93,Unscheduled,Plant C,TX-200,Evening,2025-03-18,2,81.04,2.24,3638.17,2271
MCH041,2025-05-13,168,122.07,72.66,Power Outage,45.93,Scheduled,Plant A,TX-300,Night,2025-04-20,3,40.69,3.28,2912.93,1449
MCH042,2025-05-13,168,164.49,97.91,Electrical Fault,3.51,Scheduled,Plant C,TX-200,Morning,2025-03-19,3,54.83,2.5,3456.06,2231
MCH043,2025-05-13,168,166.17,98.91,Preventive Maintenance,1.83,Scheduled,Plant A,TX-100,Evening,2025-05-01,2,83.08,1.84,3830.73,1712
MCH044,2025-05-13,168,155.57,92.6,Power Outage,12.43,Scheduled,Plant A,TX-100,Morning,2025-04-30,0,,,3446.84,1694
MCH045,2025-05-13,168,137.57,81.88,Gearbox Failure,30.43,Scheduled,Plant A,TX-200,Evening,2025-03-30,1,137.57,4.26,3167.41,1603
MCH046,2025-05-13,168,159.73,95.08,Electrical Fault,8.27,Scheduled,Plant C,TX-300,Evening,2025-05-04,2,79.86,1.2,3519.06,2250
MCH047,2025-05-13,168,137.32,81.74,Operator Delay,30.68,Unscheduled,Plant B,TX-100,Evening,2025-04-05,0,,,2774.42,1831
MCH048,2025-05-13,168,149.34,88.89,Electrical Fault,18.66,Scheduled,Plant A,TX-200,Morning,2025-03-15,5,29.87,3.21,3472.84,2219
MCH049,2025-05-13,168,127.4,75.84,Gearbox Failure,40.6,Scheduled,Plant C,TX-200,Evening,2025-04-05,2,63.7,4.83,3052.65,1330
MCH050,2025-05-13,168,143.58,85.47,Electrical Fault,24.42,Emergency,Plant A,TX-100,Evening,2025-04-12,1,143.58,4.13,3110.78,1509
